"availability","brand_name","category","competitor_name","competitor_price","competitor_product_id","competitor_sale_price","currency","data_valid","discount_pct","gender_target","is_on_sale","product_name","scraped_at","sizes_available/0","sizes_available/1","sizes_available/2","sizes_available/3","sizes_available/4","sizes_available/5","sizes_available/6","sizes_available/7","sizes_available/8","sizes_available/9","sizes_available/10","sizes_available/11","sku_id","source_url","style_code"
"in_stock","Puma","Ball","tchooz","35","tchooz:9115221360897",,"USD","true",,"unisex","false","PUMA KING ball","2026-05-22T03:00:12Z","5",,,,,,,,,,,,"8473602","https://tchoozshoes.com/products/puma-king-ball","does_not_exist"
"in_stock","Puma","Ball","tchooz","30","tchooz:9115221328129",,"USD","true",,"unisex","false","ATTACANTO Graphic ball","2026-05-22T03:00:12Z","5",,,,,,,,,,,,"8473904","https://tchoozshoes.com/products/attacanto-graphic-ball","does_not_exist"
"in_stock","Puma","Bags","tchooz","40","tchooz:9115221262593",,"USD","true",,"unisex","false","ESSENTIALS Waist Bag","2026-05-22T03:00:12Z","X",,,,,,,,,,,,"9112801","https://tchoozshoes.com/products/essentials-waist-bag","does_not_exist"
"in_stock","Puma","Tights","tchooz","72","tchooz:9115221229825","35","USD","true","51.39","women","true","W PUMA STRONG COLORBLOCKTIGHT - HW 7/8 Women","2026-05-22T03:00:12Z","XS","S","M","L",,,,,,,,,"52667982","https://tchoozshoes.com/products/w-puma-strong-colorblocktight-hw-7-8-women","does_not_exist"
"in_stock","Puma","Tees","tchooz","37","tchooz:9115221164289","20","USD","true","45.95","boys","true","GRAPHIC Super Puma Tee Boys","2026-05-22T03:00:12Z","7-8 Years",,,,,,,,,,,,"63222966","https://tchoozshoes.com/products/graphic-super-puma-tee-boys","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","95","tchooz:9115220869377","50","USD","true","47.37","men","true","PUMA Smash 3.0 Men","2026-05-22T03:00:12Z","46",,,,,,,,,,,,"39098427","https://tchoozshoes.com/products/puma-smash-3-0-men","does_not_exist"
"in_stock","Puma","Jackets","tchooz","110","tchooz:9115220607233",,"USD","true",,"women","false","Ess Regular Windbreaker Women","2026-05-22T03:00:12Z","XS","S",,,,,,,,,,,"68513301","https://tchoozshoes.com/products/ess-regular-windbreaker-women","does_not_exist"
"in_stock","New Balance","Low Boots","tchooz","255","tchooz:9115220574465",,"USD","true",,"men","false","NEW BALANCE-9060 Men","2026-05-22T03:00:12Z","43","44","44.5","45",,,,,,,,,"U9060BLK","https://tchoozshoes.com/products/new-balance-9060-men","does_not_exist"
"in_stock","Adidas","Low Boots","tchooz","159","tchooz:9115220508929",,"USD","true",,"men","false","SUPERSTAR II Men","2026-05-22T03:00:12Z","43 1/3","44","44 2/3","45 1/3","42","42 2/3","46",,,,,,"JI0079","https://tchoozshoes.com/products/superstar-ii-men","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","60","tchooz:9115220082945",,"USD","true",,"kids","false","Puma Fun Racer 2 AC+ PS","2026-05-22T03:00:12Z","Navy",,,,,,,,,,,,"40058001","https://tchoozshoes.com/products/puma-fun-racer-2-ac-ps","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","115","tchooz:9115219919105","90","USD","true","21.74","men","true","Hypnotic LS Men","2026-05-22T03:00:12Z","46",,,,,,,,,,,,"40261801","https://tchoozshoes.com/products/hypnotic-ls-men","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","105","tchooz:9115219853569","65","USD","true","38.1","women","true","Karmen II Animal Flair Women","2026-05-22T03:00:12Z","37",,,,,,,,,,,,"40264502","https://tchoozshoes.com/products/karmen-ii-animal-flair-women","does_not_exist"
"in_stock","Puma","Tees","tchooz","35","tchooz:9115219460353",,"USD","true",,"men","false","ESS Small Logo Poly Tee Men","2026-05-22T03:00:12Z","XXL","Navy",,,,,,,,,,,"68254202","https://tchoozshoes.com/products/ess-small-logo-poly-tee-men","does_not_exist"
