product_key,sku_id,brand,style_code,catalog_product_name,retail_price_usd,match_type,match_score,matched_products_count,match_reason,competitor_min_price_usd,competitor_avg_price_usd,competitor_max_price_usd,num_competitors,competitors_on_sale_count,competitors_on_sale_ratio,competitors_in_stock_count,competitors_out_of_stock_count,latest_scraped_at,cheapest_competitor_name,has_competitor_data,data_freshness_hours
ADIDAS|IG8996,SP-485BDE7E2C,ADIDAS,IG8996,"4Dfwd 3 Running Shoes, Black",224.87,exact_style,1.0,1,same normalized brand and style_code,207.0,207.0,207.0,1,1,1.0,1,0,2026-04-10T14:52:43Z,adidas_lb,1,1077.24
ADIDAS|IG9166,SP-26E1DF3914,ADIDAS,IG9166,"Advantage 2.0 Shoes, White",120.55,exact_style,1.0,2,same normalized brand and style_code,126.0,126.0,126.0,2,0,0.0,2,0,2026-04-10T14:27:08Z,adidas_lb,1,1077.66
ADIDAS|IG9175,SP-265659CA96,ADIDAS,IG9175,"Advantage 2.0 Shoes, White",118.62,exact_style,1.0,2,same normalized brand and style_code,126.0,126.0,126.0,2,0,0.0,2,0,2026-04-10T14:27:09Z,adidas_lb,1,1077.66
ADIDAS|IG9184,SP-C328DB5C58,ADIDAS,IG9184,"Advantage Base 2.0 Shoes, Black",103.9,exact_style,1.0,2,same normalized brand and style_code,95.0,95.5,96.0,2,0,0.0,2,0,2026-04-10T14:27:10Z,adidas_lb,1,1077.66
ADIDAS|IH1478,SP-8C2C7BFBA1,ADIDAS,IH1478,"Grand Court 3.0 Shoes, White",121.49,exact_style,1.0,2,same normalized brand and style_code,126.0,126.0,126.0,2,0,0.0,2,0,2026-04-10T14:27:14Z,adidas_lb,1,1077.66
ADIDAS|IH6592,SP-82664C3C8D,ADIDAS,IH6592,"Handball Spezial Shoes, White",167.99,exact_style,1.0,2,same normalized brand and style_code,159.0,159.0,159.0,2,0,0.0,2,0,2026-04-10T14:27:31Z,adidas_lb,1,1077.66
ADIDAS|IH6870,SP-D2CBD27227,ADIDAS,IH6870,"Samba OG Shoes, White",155.52,exact_style,1.0,2,same normalized brand and style_code,159.0,159.0,159.0,2,0,0.0,2,0,2026-04-10T14:27:32Z,adidas_lb,1,1077.66
ADIDAS|IK7862,SP-02050B0FD1,ADIDAS,IK7862,"Adicolor 70S V-Neck Dress, Beige",42.63,exact_style,1.0,1,same normalized brand and style_code,38.0,38.0,38.0,1,1,1.0,1,0,2026-04-10T14:54:03Z,adidas_lb,1,1077.21
ADIDAS|IM2848,SP-33F5CF243E,ADIDAS,IM2848,"3 Stripes Leggings, Turquoise",12.2,exact_style,1.0,1,same normalized brand and style_code,14.0,14.0,14.0,1,1,1.0,1,0,2026-04-10T14:55:11Z,adidas_lb,1,1077.19
ADIDAS|IN160125,SP-D582D99C4D,ADIDAS,IN160125,Adidas Classic Solid Men Swim Swim Short Glow Blue,22.09,exact_style,1.0,1,same normalized brand and style_code,21.0,21.0,21.0,1,1,1.0,1,0,2026-04-10T14:14:27Z,mikesport,1,1077.87
ADIDAS|IN168591,SP-DCD0168711,ADIDAS,IN168591,Adidas Disney Toy Story Little-Boys Training Suit Royal Blue/Lime,34.77,exact_style,1.0,1,same normalized brand and style_code,40.0,40.0,40.0,1,1,1.0,1,0,2026-04-10T14:14:27Z,mikesport,1,1077.87
ADIDAS|IN174337,SP-DDAA79AADE,ADIDAS,IN174337,Adidas Disney Mickey Mouse Summer Baby-Boys Sportswear Suit White/Black,33.23,exact_style,1.0,1,same normalized brand and style_code,31.0,31.0,31.0,1,1,1.0,1,0,2026-04-10T14:14:27Z,mikesport,1,1077.87
ADIDAS|IN235999,SP-E44D80B7EB,ADIDAS,IN235999,Adidas Club Pleat Kids-Girls Tennis Skort White,74.65,exact_style,1.0,1,same normalized brand and style_code,61.0,61.0,61.0,1,0,0.0,1,0,2026-04-10T14:13:58Z,mikesport,1,1077.88
ADIDAS|IP2968,SP-AA14E90547,ADIDAS,IP2968,"3-Stripes Leggings, Multicolour",28.73,exact_style,1.0,1,same normalized brand and style_code,27.0,27.0,27.0,1,1,1.0,1,0,2026-04-10T14:56:42Z,adidas_lb,1,1077.17
