"availability","brand_name","category","competitor_name","competitor_price","competitor_product_id","competitor_sale_price","currency","data_valid","discount_pct","gender_target","is_on_sale","product_name","scraped_at","sizes_available/0","sizes_available/1","sizes_available/2","sizes_available/3","sizes_available/4","sizes_available/5","sizes_available/6","sizes_available/7","sizes_available/8","sizes_available/9","sizes_available/10","sizes_available/11","sizes_available/12","sizes_available/13","sizes_available/14","sizes_available/15","sizes_available/16","sizes_available/17","sku_id","source_url","style_code"
"in_stock","Adidas","Boys Clothing","adidas_lb","6840000","adidas_lb:A9_HR6404_ONE","2700000","LBP","true","60.53","unisex","true","Unisex Kids Football-Inspired Predator Joggers, Black","2026-04-30T03:16:56Z","7-8 Yrs",,,,,,,,,,,,,,,,,,"A9_HR6404_ONE","https://www.adidas.com.lb/en/adidas-outlet-unisex-kids-football-inspired-predator-joggers-black/A9_HR6404_ONE.html","HR6404"
"in_stock","Adidas","Boys Clothing","adidas_lb","7200000","adidas_lb:A9_HR6414_ONE","1440000","LBP","true","80","unisex","true","Unisex Kids Arkd3 Cargo Joggers, Black","2026-04-30T03:16:56Z","7-8 Yrs",,,,,,,,,,,,,,,,,,"A9_HR6414_ONE","https://www.adidas.com.lb/en/adidas-outlet-unisex-kids-arkd3-cargo-joggers-black/A9_HR6414_ONE.html","HR6414"
"in_stock","Adidas","Tops","adidas_lb","7200000","adidas_lb:A9_HR6484_ONE","2880000","LBP","true","60","men","true","Tennis Freelift T-Shirt, White","2026-04-30T03:16:56Z","S",,,,,,,,,,,,,,,,,,"A9_HR6484_ONE","https://www.adidas.com.lb/en/adidas-outlet-tennis-freelift-t-shirt-white/A9_HR6484_ONE.html","HR6484"
"in_stock","Adidas","Tops","adidas_lb","5490000","adidas_lb:A9_HR6617_ONE","2160000","LBP","true","60.66","men","true","Own The Run Heather T-Shirt, Black","2026-04-30T03:16:57Z","S",,,,,,,,,,,,,,,,,,"A9_HR6617_ONE","https://www.adidas.com.lb/en/adidas-outlet-own-the-run-heather-t-shirt-black/A9_HR6617_ONE.html","HR6617"
"in_stock","Adidas","Shorts","adidas_lb","6030000","adidas_lb:A9_HR6924_ONE","1170000","LBP","true","80.6","men","true","Arsenal 23/24 Home Shorts, White","2026-04-30T03:16:57Z","S","L",,,,,,,,,,,,,,,,,"A9_HR6924_ONE","https://www.adidas.com.lb/en/adidas-outlet-arsenal-23-24-home-shorts-white/A9_HR6924_ONE.html","HR6924"
"in_stock","Adidas","Tops","adidas_lb","12870000","adidas_lb:A9_HR6927_ONE","5130000","LBP","true","60.14","men","true","Arsenal 23/24 Away Jersey, Yellow","2026-04-30T03:16:57Z","M","XL",,,,,,,,,,,,,,,,,"A9_HR6927_ONE","https://www.adidas.com.lb/en/adidas-outlet-arsenal-23-24-away-jersey-yellow/A9_HR6927_ONE.html","HR6927"
"in_stock","Adidas","Tops","adidas_lb","12870000","adidas_lb:A9_HR6929_ONE","3870000","LBP","true","69.93","men","true","Arsenal 23/24 Home Jersey, Red","2026-04-30T03:16:58Z","M",,,,,,,,,,,,,,,,,,"A9_HR6929_ONE","https://www.adidas.com.lb/en/adidas-outlet-arsenal-23-24-home-jersey-red/A9_HR6929_ONE.html","HR6929"
"in_stock","Adidas","Tops","adidas_lb","12870000","adidas_lb:A9_HR6935_ONE","5130000","LBP","true","60.14","men","true","Arsenal 23/24 Third Jersey, Green","2026-04-30T03:16:58Z","S","M",,,,,,,,,,,,,,,,,"A9_HR6935_ONE","https://www.adidas.com.lb/en/adidas-outlet-arsenal-23-24-third-jersey-green/A9_HR6935_ONE.html","HR6935"
"in_stock","Adidas","Joggers & Trousers","adidas_lb","6840000","adidas_lb:A9_HR7119_ONE","1350000","LBP","true","80.26","women","true","Tiro Tracksuit Bottoms, Red","2026-04-30T03:16:58Z","S",,,,,,,,,,,,,,,,,,"A9_HR7119_ONE","https://www.adidas.com.lb/en/outlet-adidas-tiro-tracksuit-bottoms-red/A9_HR7119_ONE.html","HR7119"
"in_stock","Adidas","Boys Clothing","adidas_lb","3330000","adidas_lb:A9_HR7434_ONE","2160000","LBP","true","35.14","boys","true","Kids Classic Badge Of Sport Swim Shorts, Blue","2026-04-30T03:16:59Z","7-8 Yrs","11-12 Yrs","9-10 Yrs",,,,,,,,,,,,,,,,"A9_HR7434_ONE","https://www.adidas.com.lb/en/adidas-outlet-kids-classic-badge-of-sport-swim-shorts-blue/A9_HR7434_ONE.html","HR7434"
