style_code,mikesport_product,adidas_product,mikesport_price_original,mikesport_currency,adidas_price_original,adidas_currency,mikesport_price_usd,adidas_price_usd,mikesport_price_lbp,adidas_price_lbp,same_price,cheaper_retailer,more_expensive_retailer,price_relation,price_diff_usd,price_diff_lbp
JR3629,Adidas Handball Spezial Women Originals Shoes Grey/Quartz/Gum,"Handball Spezial Shoes, Grey",159.0,USD,9270000.0,LBP,159.0,103.0,14310000.0,9270000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,56.0,5040000.0
JR4668,Adidas Dropset 4 Women Training Shoes Ice Purple/Fig/Blue,"Dropset 4 Training Shoes, Purple",210.0,USD,18720000.0,LBP,210.0,208.0,18900000.0,18720000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,2.0,180000.0
JR4888,Adidas Adizero Evo Sl Men Running Shoes Core Black,"Adizero EVO SL Shoes, Black",223.0,USD,19980000.0,LBP,223.0,222.0,20070000.0,19980000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JR5660,Adidas Marvel Spider-Man Runfalcon Ps-Boys Running Shoes Black/White/Ruby,"Kids Unisex adidas Marvel Spider-man Runfalcon Shoes, Black",77.0,USD,6840000.0,LBP,77.0,76.0,6930000.0,6840000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JR7031,Adidas Taekwondo Mei Balle Women Original Ballerinas Black/White,"Taekwondo Mei Shoes, Black",137.0,USD,12150000.0,LBP,137.0,135.0,12330000.0,12150000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,2.0,180000.0
JS0913,Adidas Lightblaze Men Sportswear Shoes Grey/Black,"Lightblaze Shoes, Grey",111.0,USD,9270000.0,LBP,111.0,103.0,9990000.0,9270000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,8.0,720000.0
JS2167,Adidas Ownthegame 3.0 Men Basketball Shoes Core Black,"Ownthegame 3.0 Shoes, Black",96.0,USD,8550000.0,LBP,96.0,95.0,8640000.0,8550000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JS3865,Adidas Handball Spezial Men Originals Shoes Cream White/Blue,"Handball Spezial, Beige",111.0,USD,9270000.0,LBP,111.0,103.0,9990000.0,9270000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,8.0,720000.0
JS4435,Adidas Duramo Rc2 Women Running Shoes Core Black,"Duramo RC2 Running Shoes, Black",77.0,USD,6840000.0,LBP,77.0,76.0,6930000.0,6840000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JV5079,Adidas Camo Graphic Kids-Boys Sportswear T-Shirt Black,"Kids Unisex Camo Graphic T-Shirt, Black",29.0,USD,2520000.0,LBP,29.0,28.0,2610000.0,2520000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JV5379,Adidas Mercedes Amg Petronas Formula One Team Dna Men Motor-Spor Pant Black/White,"Mercedes - AMG Petronas Formula One Team DNA Joggers, Black",89.0,USD,7920000.0,LBP,89.0,88.0,8010000.0,7920000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JV6441,Adidas Liverpool Fc 25/26 Home Jersey Men Football T-Shirt Strawberry Red,"Kids Unisex Liverpool FC 25/26 Home Shorts, Red",159.0,USD,5490000.0,LBP,159.0,61.0,14310000.0,5490000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,98.0,8820000.0
JV7924,Adidas Optime Workout Women Training 7/8 Tight Black,"Optime Workout 7/8 Leggings, Black",89.0,USD,7920000.0,LBP,89.0,88.0,8010000.0,7920000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JW1530,Adidas Tiro Club Unisex Football Ball White/Black,"Unisex Tiro Club Ball, White",29.0,USD,2520000.0,LBP,29.0,28.0,2610000.0,2520000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
